"","user.self","sys.self","elapsed","user.child","sys.child"
"start",0.547,0.063,0.616,0,0
"init001",0.675,0.071,0.759,0,0
"prbo001",43.341,0.616,44.254,0,0
"sbay001",82.122,1.113,83.699,0,0
"bear001",120.232,1.477,122.211,0,0
"init002",120.287,1.481,122.27,0,0
"prbo002",161.442,2.049,164.263,0,0
"sbay002",202.435,2.543,206.105,0,0
"bear002",241.533,2.882,245.603,0,0
"init003",241.59,2.886,245.667,0,0
"prbo003",280.834,3.257,285.312,0,0
"sbay003",320.48,3.642,325.51,0,0
"bear003",361.399,4.134,367.101,0,0
"init004",361.454,4.138,367.162,0,0
"prbo004",401.542,4.604,407.822,0,0
"sbay004",440.51,4.995,447.233,0,0
"bear004",480.131,5.369,487.319,0,0
"init005",480.182,5.372,487.373,0,0
"prbo005",521.302,5.859,529.13,0,0
"sbay005",561.977,6.263,570.31,0,0
"bear005",602.305,6.676,611.16,0,0
"init006",602.363,6.681,611.223,0,0
"prbo006",643.293,7.148,652.751,0,0
"sbay006",683.787,7.611,693.871,0,0
"bear006",724.797,8.085,735.586,0,0
"init007",724.852,8.089,735.649,0,0
"prbo007",765.402,8.543,776.761,0,0
"sbay007",804.477,8.93,816.311,0,0
"bear007",845.052,9.392,857.474,0,0
"init008",845.11,9.397,857.539,0,0
"prbo008",885.44,9.829,898.402,0,0
"sbay008",926.422,10.365,940.125,0,0
"bear008",966.993,10.901,981.632,0,0
"init009",967.047,10.905,981.693,0,0
"prbo009",1007.569,11.375,1022.812,0,0
"sbay009",1048.665,11.944,1064.74,0,0
"bear009",1090.496,12.494,1107.47,0,0
"init010",1090.552,12.5,1107.535,0,0
"prbo010",1130.987,12.963,1148.576,0,0
"sbay010",1171.318,13.476,1189.674,0,0
"bear010",1211.613,13.944,1230.568,0,0
"end",1211.613,13.944,1230.569,0,0
